cust_id ,trans_id ,trans_date,invoice_nbr,loc_nbr ,sales ,product_category ,payment_method,payment_status
1,1001234,2022-05-06,100045660,30,1981,Beauty,Gift Card,failed
1,1001234,2022-05-06,100045640,30,1981,Beauty,Paytm,failed
1,1001234,2022-05-06,100045560,30,1981,Beauty,Credit Card,failed
1,1001234,2022-05-06,100045660,30,1981,Beauty,UPI ,completed
2,1001235,2022-05-07,100045661,4,2973,Gym wear,Gift Card,failed
2,1001235,2022-05-07,100045661,4,2973,Gym wear,Paytm,failed
2,1001235,2022-05-07,100045661,4,2973,Gym wear,Credit Card,failed
2,1001235,2022-05-07,100045661,4,2973,Gym wear,UPI ,completed
3,1001236,2022-05-08,100045662,25,1968,Kid's Clothing,Credit Card,completed
4,1001237,2022-05-09,100045663,40,3139,Footwear,Debit Card,completed
5,1001238,2022-05-10,100045664,37,1521,Kid's Clothing,UPI,completed
6,1001239,2022-05-11,100045665,49,3723,Gym wear,Debit Card,completed
7,1001240,2022-05-12,100045666,34,1421,Beauty,UPI,completed
8,1001241,2022-05-13,100045667,40,4164,Winter wear,Debit Card,completed
9,1001242,2022-05-14,100045668,43,2728,Women's Clothing,Credit Card,completed
10,1001243,2022-05-15,100045669,13,3230,Bags,UPI,completed
11,1001244,2022-05-16,100045670,12,4906,Accessories,Credit Card,failed
11,1001244,2022-05-16,100045670,12,4906,Accessories,Credit Card,failed
11,1001244,2022-05-16,100045670,12,4906,Accessories,Debit Card,failed
11,1001244,2022-05-16,100045670,12,4906,Accessories,UPI,failed
11,1001244,2022-05-16,100045670,12,4906,Accessories,Credit Card,completed
12,1001245,2022-05-17,100045671,27,4831,Footwear,UPI,completed
13,1001246,2022-05-18,100045672,7,1153,Kid's Clothing,Debit Card,completed
14,1001247,2022-05-19,100045673,46,3153,Beauty,UPI,completed
15,1001248,2022-05-20,100045674,17,3138,Winter wear,Debit Card,failed
16,1001248,2022-05-20,100045674,17,3138,Winter wear,Debit Card,failed
17,1001248,2022-05-20,100045674,17,3138,Winter wear,Debit Card,failed
18,1001248,2022-05-20,100045674,17,3138,Winter wear,Debit Card,failed
19,1001248,2022-05-20,100045674,17,3138,Winter wear,Debit Card,failed
20,1001253,2022-05-25,100045679,38,3959,Kid's Clothing,Debit Card,completed
21,1001254,2022-05-26,100045680,42,2239,Men's Clothing,UPI,completed
22,1001255,2022-05-27,100045681,20,2549,Jewellery,Credit Card,completed
23,1001256,2022-05-28,100045682,18,1047,Jewellery,UPI,completed
24,1001257,2022-05-29,100045683,45,1939,Bags,Credit Card,completed
25,1001258,2022-05-30,100045684,45,2920,Men's Clothing,Credit Card,completed
26,1001259,2022-05-31,100045685,50,2828,Bags,Credit Card,completed
27,1001260,2022-06-01,100045686,43,2193,Accessories,Debit Card,completed
28,1001261,2022-06-02,100045687,27,3996,Footwear,UPI,failed
29,1001261,2022-06-02,100045687,27,3996,Footwear,Credit Card,failed
30,1001261,2022-06-02,100045687,27,3996,Footwear,Debit Card,failed
31,1001261,2022-06-02,100045687,27,3996,Footwear,UPI,completed
32,1001265,2022-06-06,100045691,41,2765,Kid's Clothing,Credit Card,completed
33,1001266,2022-06-07,100045692,37,3228,Accessories,UPI,completed
34,1001267,2022-06-08,100045693,7,1655,Accessories,Credit Card,completed
35,1001268,2022-06-09,100045694,7,1235,Bags,Debit Card,completed
36,1001269,2022-06-10,100045695,16,2827,Gym wear,Credit Card,completed
37,1001270,2022-06-11,100045696,25,3752,Gym wear,UPI,completed
38,1001271,2022-06-12,100045697,1,4489,Bags,Debit Card,completed
39,1001272,2022-06-13,100045698,20,4027,Women's Clothing,UPI,completed
40,1001273,2022-06-14,100045699,48,3835,Men's Clothing,Debit Card,completed
41,1001274,2022-06-15,100045700,34,4819,Gym wear,Debit Card,completed
42,1001275,2022-06-16,100045701,22,4606,Footwear,Credit Card,completed
43,1001276,2022-06-17,100045702,14,3786,Men's Clothing,Debit Card,completed
44,1001277,2022-06-18,100045703,47,2757,Men's Clothing,Debit Card,completed
45,1001278,2022-06-19,100045704,49,4417,Bags,UPI,completed
46,1001279,2022-06-20,100045705,19,3290,Men's Clothing,Credit Card,completed
47,1001280,2022-06-21,100045706,35,1195,Winter wear,Debit Card,completed
48,1001281,2022-06-22,100045707,36,1064,Beauty,UPI,completed
49,1001282,2022-06-23,100045708,25,2130,Accessories,UPI,completed
50,1001283,2022-06-24,100045709,25,2016,Accessories,Debit Card,completed
51,1001284,2022-06-25,100045710,11,2013,Accessories,UPI,completed
52,1001285,2022-06-26,100045711,7,1724,Gym wear,UPI,completed
53,1001286,2022-06-27,100045712,38,3229,Women's Clothing,UPI,completed
54,1001287,2022-06-28,100045713,28,3634,Women's Clothing,Debit Card,completed
55,1001288,2022-06-29,100045714,30,1662,Accessories,Credit Card,completed
56,1001289,2022-06-30,100045715,48,4128,Winter wear,Credit Card,completed
57,1001290,2022-07-01,100045716,2,4762,Beauty,Credit Card,completed
58,1001291,2022-07-02,100045717,23,4159,Footwear,UPI,completed
59,1001292,2022-07-03,100045718,26,2678,Men's Clothing,Credit Card,completed
60,1001293,2022-07-04,100045719,45,4855,Beauty,UPI,completed
61,1001294,2022-07-05,100045720,10,4835,Beauty,Debit Card,completed
62,1001295,2022-07-06,100045721,40,259,Beauty,UPI,completed
63,1001296,2022-07-07,100045722,44,2952,Beauty,Debit Card,completed
64,1001297,2022-07-08,100045723,47,4744,Jewellery,Debit Card,completed
65,1001298,2022-07-09,100045724,34,730,Jewellery,Credit Card,completed
66,1001299,2022-07-10,100045725,49,3588,Accessories,Credit Card,completed
67,1001300,2022-07-11,100045726,42,3675,Women's Clothing,Debit Card,completed
68,1001301,2022-07-12,100045727,21,4112,Beauty,UPI,completed
69,1001302,2022-07-13,100045728,1,4614,Winter wear,UPI,completed
70,1001303,2022-07-14,100045729,25,3670,Kid's Clothing,Debit Card,completed
71,1001304,2022-07-15,100045730,40,699,Bags,Credit Card,completed
72,1001305,2022-07-16,100045731,12,1877,Men's Clothing,Credit Card,completed
73,1001306,2022-07-17,100045732,16,4677,Gym wear,UPI,completed
74,1001307,2022-07-18,100045733,34,2058,Kid's Clothing,UPI,completed
75,1001308,2022-07-19,100045734,1,940,Jewellery,UPI,completed
76,1001309,2022-07-20,100045735,23,1416,Women's Clothing,Credit Card,completed
77,1001310,2022-07-21,100045736,9,4936,Accessories,UPI,completed
78,1001311,2022-07-22,100045737,38,4302,Women's Clothing,Credit Card,completed
79,1001312,2022-07-23,100045738,6,2792,Accessories,UPI,completed
80,1001313,2022-07-24,100045739,41,1040,Kid's Clothing,UPI,completed
81,1001314,2022-07-25,100045740,23,3810,Jewellery,Credit Card,completed
82,1001315,2022-07-26,100045741,50,1881,Beauty,Credit Card,completed
83,1001316,2022-07-27,100045742,47,1243,Men's Clothing,Debit Card,completed
84,1001317,2022-07-28,100045743,22,2672,Men's Clothing,Credit Card,completed
85,1001318,2022-07-29,100045744,16,1244,Kid's Clothing,Debit Card,completed
86,1001319,2022-07-30,100045745,1,2180,Jewellery,UPI,completed
87,1001320,2022-07-31,100045746,12,3683,Kid's Clothing,Credit Card,completed
88,1001321,2022-08-01,100045747,18,3506,Kid's Clothing,Debit Card,completed
89,1001322,2022-08-02,100045748,50,2834,Women's Clothing,UPI,completed
90,1001323,2022-08-03,100045749,34,2440,Gym wear,Credit Card,completed
91,1001324,2022-08-04,100045750,29,1776,Beauty,Debit Card,completed
92,1001325,2022-08-05,100045751,41,3456,Jewellery,Credit Card,completed
93,1001326,2022-08-06,100045752,42,1042,Winter wear,UPI,completed
94,1001327,2022-08-07,100045753,40,1989,Beauty,Credit Card,completed
95,1001328,2022-08-08,100045754,4,4632,Women's Clothing,Credit Card,completed
96,1001329,2022-08-09,100045755,8,4013,Winter wear,Credit Card,completed
97,1001330,2022-08-10,100045756,23,4512,Jewellery,Credit Card,completed
98,1001331,2022-08-11,100045757,39,3871,Men's Clothing,Credit Card,completed
99,1001332,2022-08-12,100045758,50,325,Footwear,Credit Card,completed
100,1001333,2022-08-13,100045759,2,3989,Women's Clothing,Credit Card,completed
101,1001334,2022-08-14,100045760,32,1184,Winter wear,Credit Card,completed
102,1001335,2022-08-15,100045761,11,4171,Men's Clothing,UPI,completed
103,1001336,2022-08-16,100045762,47,4574,Gym wear,Debit Card,completed
104,1001337,2022-08-17,100045763,2,1034,Gym wear,UPI,completed
105,1001338,2022-08-18,100045764,45,3880,Jewellery,Credit Card,completed
106,1001339,2022-08-19,100045765,44,4995,Bags,Credit Card,completed
107,1001340,2022-08-20,100045766,21,972,Bags,Debit Card,completed
108,1001341,2022-08-21,100045767,47,4894,Bags,Debit Card,completed
109,1001342,2022-08-22,100045768,50,1783,Accessories,UPI,completed
110,1001343,2022-08-23,100045769,41,4194,Footwear,Credit Card,completed
111,1001344,2022-08-24,100045770,11,3579,Men's Clothing,Debit Card,completed
112,1001345,2022-08-25,100045771,29,2072,Winter wear,Debit Card,completed
113,1001346,2022-08-26,100045772,1,1837,Accessories,Credit Card,completed
114,1001347,2022-08-27,100045773,39,1589,Men's Clothing,Debit Card,completed
115,1001348,2022-08-28,100045774,13,2246,Beauty,Credit Card,completed
116,1001349,2022-08-29,100045775,3,2086,Men's Clothing,UPI,completed
117,1001350,2022-08-30,100045776,12,4050,Gym wear,UPI,completed
118,1001351,2022-08-31,100045777,28,992,Accessories,UPI,completed
119,1001352,2022-09-01,100045778,45,2117,Winter wear,Credit Card,completed
120,1001353,2022-09-02,100045779,36,2512,Winter wear,UPI,completed
121,1001354,2022-09-03,100045780,48,4684,Accessories,Debit Card,completed
122,1001355,2022-09-04,100045781,7,2139,Footwear,Debit Card,completed
123,1001356,2022-09-05,100045782,11,2112,Men's Clothing,Debit Card,completed
124,1001357,2022-09-06,100045783,28,995,Kid's Clothing,Debit Card,completed
125,1001358,2022-09-07,100045784,8,1171,Winter wear,UPI,completed
126,1001359,2022-09-08,100045785,31,4117,Winter wear,UPI,completed
127,1001360,2022-09-09,100045786,44,2437,Women's Clothing,Credit Card,completed
